weight_class,name,nation,nation_code,gender,wrl_rank
Frauen +78kg (Heavyweight),Akerke RAMAZANOVA,Kazakhstan,KAZ,f,#58
Frauen +78kg (Heavyweight),Akira SONE,Japan,JPN,f,#34
Frauen +78kg (Heavyweight),Asya TAVANO,Italy,ITA,f,#6
Frauen +78kg (Heavyweight),Beatriz SOUZA,Brazil,BRA,f,#20
Frauen +78kg (Heavyweight),Brigitte CARABALI,Colombia,COL,f,#37
Frauen +78kg (Heavyweight),Dayanara CURBELO TRAVIESO,Cuba,CUB,f,#42
Frauen +78kg (Heavyweight),Elis STARTSEVA,Russian Federation,RUS,f,#10
Frauen +78kg (Heavyweight),Emma-Melis AKTAS,Estonia,EST,f,#12
Frauen +78kg (Heavyweight),Erica SIMONETTI,Italy,ITA,f,#18
Frauen +78kg (Heavyweight),Fernanda QUIMBIRA,Angola,ANG,f,#33
Frauen +78kg (Heavyweight),Gabrielle BOUVIER,Belgium,BEL,f,#57
Frauen +78kg (Heavyweight),Helena VUKOVIC,Croatia,CRO,f,#7
Frauen +78kg (Heavyweight),Hilal OZTURK,Türkiye,TUR,f,#56
Frauen +78kg (Heavyweight),Hyeonji LEE,Republic of Korea,KOR,f,#4
Frauen +78kg (Heavyweight),Iriskhon KURBANBAEVA,Uzbekistan,UZB,f,#30
Frauen +78kg (Heavyweight),Izayana MARENCO,Nicaragua,NCA,f,#74
Frauen +78kg (Heavyweight),Jinesinuer AYIMAN,People's Republic of China,CHN,f,#11
Frauen +78kg (Heavyweight),Kamila BERLIKASH,Kazakhstan,KAZ,f,#47
Frauen +78kg (Heavyweight),Karen LEON,Venezuela,VEN,f,#17
Frauen +78kg (Heavyweight),Lea FONTAINE,France,FRA,f,#2
Frauen +78kg (Heavyweight),Ling Fang CHANG,Chinese Taipei,TPE,f,#69
Frauen +78kg (Heavyweight),Madina KAISINOVA,Azerbaijan,AZE,f,#83
Frauen +78kg (Heavyweight),Mao ARAI,Japan,JPN,f,#8
Frauen +78kg (Heavyweight),Maria HOELLWART,Austria,AUT,f,#71
Frauen +78kg (Heavyweight),Mariia IVANOVA,Russian Federation,RUS,f,#15
Frauen +78kg (Heavyweight),Moira MORILLO,Dominican Republic,DOM,f,#36
Frauen +78kg (Heavyweight),Nominzul DAMBADARJAA,Mongolia,MGL,f,#31
Frauen +78kg (Heavyweight),Raz HERSHKO,Israel,ISR,f,#1
Frauen +78kg (Heavyweight),Richelle Anita SOPPI MBELLA,Cameroon,CMR,f,#44
Frauen +78kg (Heavyweight),Rochele NUNES,Portugal,POR,f,#68
Frauen +78kg (Heavyweight),Romane DICKO,France,FRA,f,#3
Frauen +78kg (Heavyweight),Safa SOLIMAN,Egypt,EGY,f,#16
Frauen +78kg (Heavyweight),Sophio SOMKHISHVILI,Georgia,GEO,f,#41
Frauen +78kg (Heavyweight),Sydnee ANDREWS,New Zealand,NZL,f,#26
Frauen +78kg (Heavyweight),Umida NIGMATOVA,Uzbekistan,UZB,f,#24
Frauen +78kg (Heavyweight),Xinran NIU,People's Republic of China,CHN,f,#9
Frauen -48kg (Extra-lightweight),Abiba ABUZHAKYNOVA,Kazakhstan,KAZ,f,#19
Frauen -48kg (Extra-lightweight),Amber GERSJES,Netherlands,NED,f,#12
Frauen -48kg (Extra-lightweight),Anudari JAMSRAN,Mongolia,MGL,f,#8
Frauen -48kg (Extra-lightweight),Asmita DEY,India,IND,f,#49
Frauen -48kg (Extra-lightweight),Assunta SCUTTO,Italy,ITA,f,#18
Frauen -48kg (Extra-lightweight),Baasankhuu BAVUUDORJ,Mongolia,MGL,f,#53
Frauen -48kg (Extra-lightweight),Catarina COSTA,Portugal,POR,f,#28
Frauen -48kg (Extra-lightweight),Chen-Hao LIN,Chinese Taipei,TPE,f,#16
Frauen -48kg (Extra-lightweight),Clarice RIBEIRO,Brazil,BRA,f,#22
Frauen -48kg (Extra-lightweight),Eva PEREZ SOLER,Spain,ESP,f,#9
Frauen -48kg (Extra-lightweight),Gabriela NARVAEZ,Paraguay,PAR,f,#72
Frauen -48kg (Extra-lightweight),Galiya TYNBAYEVA,Kazakhstan,KAZ,f,#79
Frauen -48kg (Extra-lightweight),Ka Lee WONG,"Hong Kong, China",HKG,f,#62
Frauen -48kg (Extra-lightweight),Katryna ESPOSITO,Malta,MLT,f,#84
Frauen -48kg (Extra-lightweight),Konul ALIYEVA,Azerbaijan,AZE,f,#27
Frauen -48kg (Extra-lightweight),Laura MARTINEZ ABELENDA,Spain,ESP,f,#2
Frauen -48kg (Extra-lightweight),Lois PETIT,Belgium,BEL,f,#29
Frauen -48kg (Extra-lightweight),Lok Yi HO,"Hong Kong, China",HKG,f,#50
Frauen -48kg (Extra-lightweight),Maria Celia LABORDE,United States of America,USA,f,#7
Frauen -48kg (Extra-lightweight),Maria SEGUNDA,Angola,ANG,f,#32
Frauen -48kg (Extra-lightweight),Marina VOROBEVA,Russian Federation,RUS,f,#10
Frauen -48kg (Extra-lightweight),Mary Dee VARGAS LEY,Chile,CHI,f,#11
Frauen -48kg (Extra-lightweight),Merve AZAK,Türkiye,TUR,f,#39
Frauen -48kg (Extra-lightweight),Natacha Emiliame RAZAFINDRAKALO,Madagascar,MAD,f,#61
Frauen -48kg (Extra-lightweight),Natalija PROLIC,Serbia,SRB,f,
Frauen -48kg (Extra-lightweight),Oumaima BEDIOUI,Tunisia,TUN,f,#30
Frauen -48kg (Extra-lightweight),Patricia TOMANKOVA,Slovakia,SVK,f,#115
Frauen -48kg (Extra-lightweight),Sabina GILIAZOVA,Russian Federation,RUS,f,#3
Frauen -48kg (Extra-lightweight),Sarah ISCHT,Germany,GER,f,#20
Frauen -48kg (Extra-lightweight),Shafag HAMIDOVA,Azerbaijan,AZE,f,#34
Frauen -48kg (Extra-lightweight),Shirine BOUKLI,France,FRA,f,#5
Frauen -48kg (Extra-lightweight),Signoline KANYAMUNEZA,Burundi,BDI,f,#43
Frauen -48kg (Extra-lightweight),Tara BABULFATH,Sweden,SWE,f,#15
Frauen -48kg (Extra-lightweight),Tugce BEDER,Türkiye,TUR,f,#14
Frauen -48kg (Extra-lightweight),Ulbusin KHAKIMOVA,Uzbekistan,UZB,f,#35
Frauen -48kg (Extra-lightweight),Victoria SIBILLE,Belgium,BEL,f,#81
Frauen -48kg (Extra-lightweight),Wakana KOGA,Japan,JPN,f,#6
Frauen -48kg (Extra-lightweight),Wenna ZHUANG,People's Republic of China,CHN,f,#4
Frauen -48kg (Extra-lightweight),Xinran HUI,People's Republic of China,CHN,f,#1
Frauen -52kg (Half-lightweight),Aleksandra KALETA,Poland,POL,f,#21
Frauen -52kg (Half-lightweight),Ariane TORO SOLER,Spain,ESP,f,#5
Frauen -52kg (Half-lightweight),Ayumi LEIVA SANCHEZ,Spain,ESP,f,#3
Frauen -52kg (Half-lightweight),Driulys RIVAS,Peru,PER,f,#28
Frauen -52kg (Half-lightweight),Evelyn BEATON,Canada,CAN,f,#20
Frauen -52kg (Half-lightweight),Francine ECHEVARRIA,Puerto Rico,PUR,f,#26
Frauen -52kg (Half-lightweight),Gabriela DIMITROVA,Bulgaria,BUL,f,#50
Frauen -52kg (Half-lightweight),Gefen PRIMO,Israel,ISR,f,#11
Frauen -52kg (Half-lightweight),Gultaj MAMMADALIYEVA,Azerbaijan,AZE,f,#40
Frauen -52kg (Half-lightweight),Khorloodoi BISHRELT,United Arab Emirates,UAE,f,#6
Frauen -52kg (Half-lightweight),Larissa PIMENTA,Brazil,BRA,f,#16
Frauen -52kg (Half-lightweight),Madina QURBONZODA,Tajikistan,TJK,f,#53
Frauen -52kg (Half-lightweight),Marie Celine BABA MATIA,Cameroon,CMR,f,#38
Frauen -52kg (Half-lightweight),Mascha BALLHAUS,Germany,GER,f,#4
Frauen -52kg (Half-lightweight),Minjeong KIM,Republic of Korea,KOR,f,#68
Frauen -52kg (Half-lightweight),Monica REYES,United States of America,USA,f,#89
Frauen -52kg (Half-lightweight),Nandin-Erdene MYAGMARSUREN,Mongolia,MGL,f,#13
Frauen -52kg (Half-lightweight),Naomi VAN KREVEL,Netherlands,NED,f,#18
Frauen -52kg (Half-lightweight),Nikolina NISAVIC,Serbia,SRB,f,#84
Frauen -52kg (Half-lightweight),Nungshithoi Chanu LEISHANGTHEM,India,IND,f,#107
Frauen -52kg (Half-lightweight),Odette GIUFFRIDA,Italy,ITA,f,#2
Frauen -52kg (Half-lightweight),Paulina MARTINEZ,Mexico,MEX,f,#51
Frauen -52kg (Half-lightweight),Rafaela RODRIGUES,Brazil,BRA,f,#32
Frauen -52kg (Half-lightweight),Reka PUPP,Hungary,HUN,f,#12
Frauen -52kg (Half-lightweight),Roza GYERTYAS,Hungary,HUN,f,#9
Frauen -52kg (Half-lightweight),Shraddha Kadubal CHOPADE,India,IND,f,#36
Frauen -52kg (Half-lightweight),Shuk Ki TSUI,"Hong Kong, China",HKG,f,#43
Frauen -52kg (Half-lightweight),Sofia ASVESTA,Cyprus,CYP,f,#23
Frauen -52kg (Half-lightweight),Soumiya IRAOUI,Morocco,MAR,f,#22
Frauen -52kg (Half-lightweight),Sugdiyona RAFKATOVA,Uzbekistan,UZB,f,#34
Frauen -52kg (Half-lightweight),Suryeon HWANG,Republic of Korea,KOR,f,#61
Frauen -52kg (Half-lightweight),Tatum KEEN,Great Britain,GBR,f,#24
Frauen -52kg (Half-lightweight),Tereza BODNAROVA,Czechia,CZE,f,#46
Frauen -52kg (Half-lightweight),Tihea TOPOLOVEC,Croatia,CRO,f,#74
Frauen -52kg (Half-lightweight),Tinka EASTON,Australia,AUS,f,#35
Frauen -52kg (Half-lightweight),Toni PEPIA,United States of America,USA,f,#71
Frauen -52kg (Half-lightweight),Uranzaya BAYANMUNKH,Mongolia,MGL,f,#39
Frauen -52kg (Half-lightweight),Uta ABE,Japan,JPN,f,#7
Frauen -52kg (Half-lightweight),Zalika HASSANE ABDOU,Niger,NIG,f,#62
Frauen -57kg (Lightweight),Acelya TOPRAK,Great Britain,GBR,f,#15
Frauen -57kg (Lightweight),Adriana RODRIGUEZ SALVADOR,Spain,ESP,f,#28
Frauen -57kg (Lightweight),Akari OMORI,Japan,JPN,f,#9
Frauen -57kg (Lightweight),Ana Viktorija PULJIZ,Croatia,CRO,f,#11
Frauen -57kg (Lightweight),Anastasija SOKIRJANSKA,Latvia,LAT,f,#88
Frauen -57kg (Lightweight),Andreza ANTONIO,Angola,ANG,f,#42
Frauen -57kg (Lightweight),Ariunzaya TERBISH,Mongolia,MGL,f,#13
Frauen -57kg (Lightweight),Aysenur BUDAK,Türkiye,TUR,f,#90
Frauen -57kg (Lightweight),Binta NDIAYE,Switzerland,SUI,f,#25
Frauen -57kg (Lightweight),Eteri LIPARTELIANI,Georgia,GEO,f,#1
Frauen -57kg (Lightweight),Giulia CARNA,Italy,ITA,f,#26
Frauen -57kg (Lightweight),Habiba BAYATI,IJF Refugee Team,IRT,f,#245
Frauen -57kg (Lightweight),Inbal SHEMESH,Israel,ISR,f,#36
Frauen -57kg (Lightweight),Irina ZUEVA,Russian Federation,RUS,f,#17
Frauen -57kg (Lightweight),Jessica LIMA,Brazil,BRA,f,#12
Frauen -57kg (Lightweight),Juhee KIM,Republic of Korea,KOR,f,#75
Frauen -57kg (Lightweight),Khadizha GADASHOVA,Azerbaijan,AZE,f,
Frauen -57kg (Lightweight),Lian BENAVIDES,Cuba,CUB,f,#87
Frauen -57kg (Lightweight),Luca VEG,Hungary,HUN,f,#86
Frauen -57kg (Lightweight),Mariah HOLGUIN,United States of America,USA,f,#43
Frauen -57kg (Lightweight),Mariana ESTEVES,Guinea,GUI,f,#16
Frauen -57kg (Lightweight),Marica PERISIC,Serbia,SRB,f,#10
Frauen -57kg (Lightweight),Marta GARCIA MARTIN,Spain,ESP,f,#22
Frauen -57kg (Lightweight),Maya LEOPOLD,Uruguay,URU,f,#85
Frauen -57kg (Lightweight),Maysa PARDAYEVA,Turkmenistan,TKM,f,#20
Frauen -57kg (Lightweight),Mina LIBEER,Belgium,BEL,f,#59
Frauen -57kg (Lightweight),Momo TAMAOKI,Japan,JPN,f,#3
Frauen -57kg (Lightweight),Nan WANG,People's Republic of China,CHN,f,#56
Frauen -57kg (Lightweight),Nino LOLADZE,Georgia,GEO,f,#48
Frauen -57kg (Lightweight),Olga MUKHINA,Russian Federation,RUS,f,#21
Frauen -57kg (Lightweight),Oyunchimeg OYUNGEREL,United Arab Emirates,UAE,f,#96
Frauen -57kg (Lightweight),Pihla MATIKAINEN,Finland,FIN,f,#34
Frauen -57kg (Lightweight),Pihla SALONEN,Finland,FIN,f,#14
Frauen -57kg (Lightweight),Sarah Leonie CYSIQUE,France,FRA,f,#2
Frauen -57kg (Lightweight),Sarah SOUZA,Brazil,BRA,f,#19
Frauen -57kg (Lightweight),Seija BALLHAUS,Germany,GER,f,#8
Frauen -57kg (Lightweight),Shannon VAN DE MEEBERG,Netherlands,NED,f,#32
Frauen -57kg (Lightweight),Sosorbaram LKHAGVASUREN,Mongolia,MGL,f,#49
Frauen -57kg (Lightweight),Timna NELSON LEVY,Israel,ISR,f,#5
Frauen -57kg (Lightweight),Tsendbazar MASHBAT,United Arab Emirates,UAE,f,#82
Frauen -57kg (Lightweight),Varvara KUCHAR,Lithuania,LTU,f,#265
Frauen -57kg (Lightweight),Veronica TONIOLO,Italy,ITA,f,#35
Frauen -57kg (Lightweight),Yamini MOURYA,India,IND,f,#54
Frauen -57kg (Lightweight),Zhanar ZHOLDOSHEVA,Kyrgyzstan,KGZ,f,#57
Frauen -63kg (Half-middleweight),Adina KOCHKONBAEVA,Kyrgyzstan,KGZ,f,#86
Frauen -63kg (Half-middleweight),Angelika SZYMANSKA,Poland,POL,f,#7
Frauen -63kg (Half-middleweight),Anna KRIZA,Hungary,HUN,f,#54
Frauen -63kg (Half-middleweight),Anriquelis BARRIOS,Venezuela,VEN,f,#31
Frauen -63kg (Half-middleweight),Ariela SANCHEZ BENITEZ,Spain,ESP,f,#49
Frauen -63kg (Half-middleweight),Carlotta AVANZATO,Italy,ITA,f,#15
Frauen -63kg (Half-middleweight),Catherine BEAUCHEMIN-PINARD,Canada,CAN,f,#11
Frauen -63kg (Half-middleweight),Clarisse AGBEGNENOU,France,FRA,f,#38
Frauen -63kg (Half-middleweight),Dali LILUASHVILI,Russian Federation,RUS,f,#25
Frauen -63kg (Half-middleweight),Emily Daniela JASPE,United States of America,USA,f,#39
Frauen -63kg (Half-middleweight),Enkhriilen LKHAGVATOGOO,Mongolia,MGL,f,#2
Frauen -63kg (Half-middleweight),Esmigul KUYULOVA,Kazakhstan,KAZ,f,#50
Frauen -63kg (Half-middleweight),Friederike STOLZE,Germany,GER,f,#22
Frauen -63kg (Half-middleweight),Gankhaich BOLD,Mongolia,MGL,f,#8
Frauen -63kg (Half-middleweight),Haruka KAJU,Japan,JPN,f,#1
Frauen -63kg (Half-middleweight),Himanshi TOKAS,India,IND,f,#97
Frauen -63kg (Half-middleweight),Iva OBERAN,Croatia,CRO,f,#6
Frauen -63kg (Half-middleweight),Jessica KLIMKAIT,Canada,CAN,f,#10
Frauen -63kg (Half-middleweight),Jisu KIM,Republic of Korea,KOR,f,#29
Frauen -63kg (Half-middleweight),Joana CRISOSTOMO,Portugal,POR,f,#82
Frauen -63kg (Half-middleweight),Joanne VAN LIESHOUT,Netherlands,NED,f,#4
Frauen -63kg (Half-middleweight),Kaja KAJZER ZABKAR,Slovenia,SLO,f,#9
Frauen -63kg (Half-middleweight),Karlee CARROUTH,United States of America,USA,f,#36
Frauen -63kg (Half-middleweight),Kerem PRIMO,Israel,ISR,f,#27
Frauen -63kg (Half-middleweight),Laura FAZLIU,Kosovo,KOS,f,#17
Frauen -63kg (Half-middleweight),Laura VAZQUEZ FERNANDEZ,Spain,ESP,f,#20
Frauen -63kg (Half-middleweight),Lea WYSS,Liechtenstein,LIE,f,#251
Frauen -63kg (Half-middleweight),Linthoi CHANAMBAM,India,IND,f,#66
Frauen -63kg (Half-middleweight),Louna-Lumia SEIKKULA,Finland,FIN,f,#52
Frauen -63kg (Half-middleweight),Lubjana PIOVESANA,Austria,AUT,f,#12
Frauen -63kg (Half-middleweight),Maeve COUGHLAN,Australia,AUS,f,#43
Frauen -63kg (Half-middleweight),Manon DEKETER,France,FRA,f,#5
Frauen -63kg (Half-middleweight),Maylin DEL TORO CARVAJAL,Cuba,CUB,f,#45
Frauen -63kg (Half-middleweight),Melika BALALI,IJF Refugee Team,IRT,f,#252
Frauen -63kg (Half-middleweight),Nargiz HAJIYEVA,Azerbaijan,AZE,f,#330
Frauen -63kg (Half-middleweight),Natalia KROPSKA,Poland,POL,f,#21
Frauen -63kg (Half-middleweight),Nina SIMIC,Croatia,CRO,f,#23
Frauen -63kg (Half-middleweight),Ozlem YILDIZ,Türkiye,TUR,f,#95
Frauen -63kg (Half-middleweight),Pei Chun YUAN,Chinese Taipei,TPE,f,#53
Frauen -63kg (Half-middleweight),Rafaela SILVA,Brazil,BRA,f,#3
Frauen -63kg (Half-middleweight),Rahina MODI MOUMOUNI,Niger,NIG,f,#89
Frauen -63kg (Half-middleweight),Renata ZACHOVA,Czechia,CZE,f,#19
Frauen -63kg (Half-middleweight),Sara-Joy BAUER,Germany,GER,f,#28
Frauen -63kg (Half-middleweight),Saya MIDDLETON,Australia,AUS,f,#57
Frauen -63kg (Half-middleweight),Skye KNOESTER,South Africa,RSA,f,#88
Frauen -63kg (Half-middleweight),Yana MAKRETSKAYA,Belarus,BLR,f,#33
Frauen -63kg (Half-middleweight),Yassamine DJELLAB,Algeria,ALG,f,#40
Frauen -63kg (Half-middleweight),Yeji KIM,Republic of Korea,KOR,f,#51
Frauen -63kg (Half-middleweight),Yoana MANOVA,Bulgaria,BUL,f,#63
Frauen -70kg (Middleweight),Ai TSUNODA ROUSTANT,Spain,ESP,f,#18
Frauen -70kg (Middleweight),Aina Laura RASOANAIVO RAZAFY,Madagascar,MAD,f,#22
Frauen -70kg (Middleweight),Aleksandra ANDRIC,Serbia,SRB,f,#21
Frauen -70kg (Middleweight),Aleksandra KOWALEWSKA,Poland,POL,f,#19
Frauen -70kg (Middleweight),Aleksandra SAMARDZIC,Bosnia and Herzegovina,BIH,f,#72
Frauen -70kg (Middleweight),Aoife COUGHLAN,Australia,AUS,f,#2
Frauen -70kg (Middleweight),Celinda COROZO,Ecuador,ECU,f,#43
Frauen -70kg (Middleweight),Clemence EME,France,FRA,f,#7
Frauen -70kg (Middleweight),Elisavet TELTSIDOU,Greece,GRE,f,#11
Frauen -70kg (Middleweight),Ema FIZELOVA,Slovakia,SVK,f,#92
Frauen -70kg (Middleweight),Gioia VETTERLI,Switzerland,SUI,f,#38
Frauen -70kg (Middleweight),Giorgia STANGHERLIN,Italy,ITA,f,#10
Frauen -70kg (Middleweight),Giovanna SCOCCIMARRO,Germany,GER,f,#20
Frauen -70kg (Middleweight),Ida ERIKSSON,Sweden,SWE,f,#8
Frauen -70kg (Middleweight),Ingrid NILSSON,Sweden,SWE,f,#50
Frauen -70kg (Middleweight),Inunganbi TAKHELLAMBAM,India,IND,f,#45
Frauen -70kg (Middleweight),Irene PEDROTTI,Italy,ITA,f,#12
Frauen -70kg (Middleweight),Isabella GARRIGA,United States of America,USA,f,#71
Frauen -70kg (Middleweight),Kaja SCHUSTER,Slovenia,SLO,f,#32
Frauen -70kg (Middleweight),Kelly PETERSEN POLLARD,Great Britain,GBR,f,#30
Frauen -70kg (Middleweight),Khurshida RAZZOKBERDIEVA,Uzbekistan,UZB,f,#35
Frauen -70kg (Middleweight),Laerke OLSEN,Denmark,DEN,f,#95
Frauen -70kg (Middleweight),Lara CVJETKO,Croatia,CRO,f,#1
Frauen -70kg (Middleweight),Lu LIU,People's Republic of China,CHN,f,#25
Frauen -70kg (Middleweight),Madina TAIMAZOVA,Russian Federation,RUS,f,#9
Frauen -70kg (Middleweight),Margit DE VOOGD,Netherlands,NED,f,#16
Frauen -70kg (Middleweight),Maya GOSHEN,Israel,ISR,f,#56
Frauen -70kg (Middleweight),Melissa MYERS,United States of America,USA,f,#51
Frauen -70kg (Middleweight),Michaela POLLERES,Austria,AUT,f,#13
Frauen -70kg (Middleweight),Miriam BUTKEREIT,Germany,GER,f,#5
Frauen -70kg (Middleweight),Nauana SILVA,Brazil,BRA,f,#15
Frauen -70kg (Middleweight),Nika KOREN,Slovenia,SLO,f,#54
Frauen -70kg (Middleweight),Nino GULBANI,Georgia,GEO,f,#74
Frauen -70kg (Middleweight),Sanne VAN DIJKE,Netherlands,NED,f,#23
Frauen -70kg (Middleweight),Serafima MOSCALU,Romania,ROU,f,#28
Frauen -70kg (Middleweight),Shiho TANAKA,Japan,JPN,f,#3
Frauen -70kg (Middleweight),Shirinjon YULDOSHOVA,Uzbekistan,UZB,f,#42
Frauen -70kg (Middleweight),Sudaba AGHAYEVA,Azerbaijan,AZE,f,#77
Frauen -70kg (Middleweight),Taibanganbi Chanu KHAIDEM,India,IND,f,#188
Frauen -70kg (Middleweight),Tais PINA,Portugal,POR,f,#17
Frauen -70kg (Middleweight),Tamara LISHCHENKO,Russian Federation,RUS,f,#49
Frauen -70kg (Middleweight),Yerang LEE,Republic of Korea,KOR,f,#87
Frauen -70kg (Middleweight),Yingying FENG,People's Republic of China,CHN,f,#27
Frauen -70kg (Middleweight),Yu-Jung LIAO,Chinese Taipei,TPE,f,#34
Frauen -78kg (Half-heavyweight),Alina BOEHM,Germany,GER,f,#7
Frauen -78kg (Half-heavyweight),Anna KAZAKOVA,Ukraine,UKR,f,#62
Frauen -78kg (Half-heavyweight),Anna Monta OLEK,Germany,GER,f,#1
Frauen -78kg (Half-heavyweight),Aqulina CHAYEB,Lebanon,LBN,f,#67
Frauen -78kg (Half-heavyweight),Aruna JANGELDINA,Kazakhstan,KAZ,f,#53
Frauen -78kg (Half-heavyweight),Audrey TCHEUMEO,France,FRA,f,#10
Frauen -78kg (Half-heavyweight),Barchinoy KODIROVA,Uzbekistan,UZB,f,#52
Frauen -78kg (Half-heavyweight),Beatriz FREITAS,Brazil,BRA,f,#13
Frauen -78kg (Half-heavyweight),Brenda OLAYA,Colombia,COL,f,#9
Frauen -78kg (Half-heavyweight),Camila FIGUEROA,Peru,PER,f,#55
Frauen -78kg (Half-heavyweight),Coralie GODBOUT,Canada,CAN,f,#15
Frauen -78kg (Half-heavyweight),Elena DENGG,Austria,AUT,f,#58
Frauen -78kg (Half-heavyweight),Eliza WROBLEWSKA,Poland,POL,f,#50
Frauen -78kg (Half-heavyweight),Elvismar RODRIGUEZ,Venezuela,VEN,f,#95
Frauen -78kg (Half-heavyweight),Emma KRAPU,Finland,FIN,f,#38
Frauen -78kg (Half-heavyweight),Emma REID,Great Britain,GBR,f,#12
Frauen -78kg (Half-heavyweight),Hajanirina Zo ANDRIAMBOLOLONA,Madagascar,MAD,f,#54
Frauen -78kg (Half-heavyweight),Hongtao WU,People's Republic of China,CHN,f,#16
Frauen -78kg (Half-heavyweight),Ishroop NARANG,India,IND,f,#74
Frauen -78kg (Half-heavyweight),Jeongyun LEE,Republic of Korea,KOR,f,#85
Frauen -78kg (Half-heavyweight),Jovana STJEPANOVIC,Serbia,SRB,f,#56
Frauen -78kg (Half-heavyweight),Juyun KIM,Republic of Korea,KOR,f,#81
Frauen -78kg (Half-heavyweight),Kaila ISSOUFI,France,FRA,f,#5
Frauen -78kg (Half-heavyweight),Kurena IKEDA,Japan,JPN,f,#4
Frauen -78kg (Half-heavyweight),Lianet CARDONA,Cuba,CUB,f,#46
Frauen -78kg (Half-heavyweight),Lotanna ONUA,United States of America,USA,f,#93
Frauen -78kg (Half-heavyweight),Maidelines GORGUET-VERANES,Romania,ROU,f,#36
Frauen -78kg (Half-heavyweight),Maria SWAN,Australia,AUS,f,#14
Frauen -78kg (Half-heavyweight),Marie BRANSER,Guinea,GUI,f,#11
Frauen -78kg (Half-heavyweight),Marit KAMPS,Netherlands,NED,f,#41
Frauen -78kg (Half-heavyweight),Marjona KUCHIMOVA,Uzbekistan,UZB,f,#40
Frauen -78kg (Half-heavyweight),Metka LOBNIK,Slovenia,SLO,f,#3
Frauen -78kg (Half-heavyweight),Migle Julija DUDENAITE,Lithuania,LTU,f,#27
Frauen -78kg (Half-heavyweight),Milica ZABIC,Serbia,SRB,f,#64
Frauen -78kg (Half-heavyweight),Patricia SAMPAIO,Portugal,POR,f,#6
Frauen -78kg (Half-heavyweight),Petrunjela PAVIC,Croatia,CRO,f,#19
Frauen -78kg (Half-heavyweight),Sairy COLON,Puerto Rico,PUR,f,#43
Frauen -78kg (Half-heavyweight),Shu Huei HSU WANG,Chinese Taipei,TPE,f,#35
Frauen -78kg (Half-heavyweight),Slaviana RYLKEVICH,Belarus,BLR,f,#59
Frauen -78kg (Half-heavyweight),Tuana GULENAY,Türkiye,TUR,f,#65
Frauen -78kg (Half-heavyweight),Vicky VERSCHAERE,Belgium,BEL,f,#49
Frauen -78kg (Half-heavyweight),Yael VAN HEEMST,Netherlands,NED,f,#31
Frauen -78kg (Half-heavyweight),Yelyzaveta LYTVYNENKO,United Arab Emirates,UAE,f,#2
Frauen -78kg (Half-heavyweight),Zanet MICHAELIDOU,Cyprus,CYP,f,#33
Frauen -78kg (Half-heavyweight),Zhenzhao MA,People's Republic of China,CHN,f,#32
Männer +100kg (Heavyweight),Adnan KHANKAN,IJF Refugee Team,IRT,m,#215
Männer +100kg (Heavyweight),Akira NAKAJIMA,Uganda,UGA,m,#82
Männer +100kg (Heavyweight),Alex SEMENENKO,United States of America,USA,m,#31
Männer +100kg (Heavyweight),Darius DOBRE,Romania,ROU,m,#45
Männer +100kg (Heavyweight),Dzhamal GAMZATKHANOV,Azerbaijan,AZE,m,#11
Männer +100kg (Heavyweight),Emirkhan ZHOLDOSHKAZIEV,Kyrgyzstan,KGZ,m,#58
Männer +100kg (Heavyweight),Francisco SOLIS,Chile,CHI,m,#27
Männer +100kg (Heavyweight),Giannis ANTONIOU,Cyprus,CYP,m,#20
Männer +100kg (Heavyweight),Gonchigsuren BATKHUYAG,Mongolia,MGL,m,#12
Männer +100kg (Heavyweight),Guram TUSHISHVILI,Georgia,GEO,m,#13
Männer +100kg (Heavyweight),Haiyang LI,People's Republic of China,CHN,m,#28
Männer +100kg (Heavyweight),Ibrahim TATAROGLU,Türkiye,TUR,m,#23
Männer +100kg (Heavyweight),Igor VRACAR,Serbia,SRB,m,#60
Männer +100kg (Heavyweight),Inal TASOEV,Russian Federation,RUS,m,#1
Männer +100kg (Heavyweight),Irakli DEMETRASHVILI,Georgia,GEO,m,#4
